시도,시군구,주유소명,주소,브랜드,휘발유가격,경유가격,세차장,24시간영업,편의점,전화번호
서울특별시,강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,1852,1843,가능,불가,없음,02-445-6870
서울특별시,강남구,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,1863,1853,가능,불가,없음,02-2226-4963
서울특별시,강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,1864,1854,가능,가능,없음,02-3462-5100
서울특별시,강남구,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,1864,1854,가능,불가,없음,02-3462-5215
서울특별시,강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718,HD현대오일뱅크,1864,1854,가능,불가,없음,02-529-5101
서울특별시,강남구,HD현대오일뱅크㈜직영 강남셀프주유소,서울 강남구 도곡로 208,HD현대오일뱅크,1864,1854,가능,불가,없음,02-3462-0018
서울특별시,강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,1878,1872,불가,불가,없음,02-539-5145
서울특별시,강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,1890,1870,가능,가능,없음,02-562-4855
서울특별시,강남구,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,1894,1884,가능,불가,없음,02-546-2182
서울특별시,강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,1897,1889,가능,불가,없음,02-459-3434
서울특별시,강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,1898,1872,가능,불가,없음,02-3452-1882
서울특별시,강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,1899,1899,가능,불가,없음,02-2058-3024
서울특별시,강남구,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,1919,1919,가능,가능,없음,02-564-0186
서울특별시,강남구,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,1927,1898,가능,불가,없음,02-445-5841
